x	y	cut_x	y_label_idx
帮我2倍速播放孙红雷演的带着爸爸去留学	FilmTele-Play	帮 我 2 倍速 播放 孙红雷 演 的 带 着 爸爸 去 留学	3
美剧2009年上线的播放一下	FilmTele-Play	美剧 2009 年 上线 的 播放 一下	3
能把上次那个历史剧给我继续播放吗	FilmTele-Play	能 把 上次 那个 历史剧 给 我 继续 播放 吗	3
立刻给我播放一下美国人范迪塞尔拍摄的电视剧吧	FilmTele-Play	立刻 给 我 播放 一下 美国 人范 迪塞尔 拍摄 的 电视剧 吧	3
我想看看杨幂主演的刺杀小说家。	FilmTele-Play	我 想 看看 杨幂 主演 的 刺杀 小说家 。	3
可以播放一下日头日头照着我吗	FilmTele-Play	可以 播放 一下 日头 日头 照着 我 吗	3
能不能播一下2021年新上线的美国电视剧啊	FilmTele-Play	能 不能 播 一下 2021 年 新 上线 的 美国 电视剧 啊	3
能找一个中国演员王刚的电视剧看看吗	FilmTele-Play	能 找 一个 中国 演员 王刚 的 电视剧 看看 吗	3
我正在看的推理剧能继续前面的播放一下吗	FilmTele-Play	我 正在 看 的 推理 剧能 继续 前面 的 播放 一下 吗	3
能不能来一个迪丽热巴主演的烈火如歌看看	FilmTele-Play	能 不能 来 一个 迪丽 热巴 主演 的 烈火 如歌 看看	3
美国艺人刘亦菲的仙侠剧来一个	FilmTele-Play	美国 艺人 刘亦菲 的 仙侠 剧来 一个	3
是不是能播放一下有赵丽颖出演的红楼梦啊	FilmTele-Play	是不是 能 播放 一下 有 赵丽颖 出演 的 红楼梦 啊	3
赵露思这两年上的电视剧随机来一个吧	FilmTele-Play	赵露思 这 两年 上 的 电视剧 随机 来 一个 吧	3
让我看陈小艺演的姥姥的饺子馆	FilmTele-Play	让 我 看 陈小艺 演 的 姥姥 的 饺子馆	3
我需要你给我播放一个迪丽热巴拍的古装剧呢	FilmTele-Play	我 需要 你 给 我 播放 一个 迪丽 热巴 拍 的 古装剧 呢	3
你可以给我播放一下日本片你的名字给我吗	FilmTele-Play	你 可以 给 我 播放 一下 日本 片 你 的 名字 给 我 吗	3
关晓彤主演的张艺谋导演的影麻烦在十分钟之后播放。	FilmTele-Play	关晓彤 主演 的 张艺谋 导演 的 影 麻烦 在 十分钟 之后 播放 。	3
美片指环王2播放一下给我看	FilmTele-Play	美片 指环王 2 播放 一下 给 我 看	3
日本2016年前的电影能播放一个吗	FilmTele-Play	日本 2016 年前 的 电影 能 播放 一个 吗	3
来一个推理电视剧锦衣之下吧	FilmTele-Play	来 一个 推理 电视剧 锦衣 之下 吧	3
能找一个清宫剧播放第一集吗，还珠格格类似的	FilmTele-Play	能 找 一个 清宫 剧 播放 第一集 吗 ， 还珠格格 类似 的	3
能给我放金晨主演的隐秘而伟大吗。	FilmTele-Play	能 给 我 放金晨 主演 的 隐秘 而 伟大 吗 。	3
张子枫演的我的姐姐请播放是殷若昕导的	FilmTele-Play	张子 枫演 的 我 的 姐姐 请 播放 是 殷若昕导 的	3
需要你帮我找到一个任敏主演的古装剧进行播放	FilmTele-Play	需要 你 帮 我 找到 一个 任敏 主演 的 古装剧 进行 播放	3
我马上就想看张译演的悬崖之上	FilmTele-Play	我 马上 就 想 看 张译演 的 悬崖 之上	3
美国片星际穿越给我播放一下可以不	FilmTele-Play	美国 片 星际 穿越 给 我 播放 一下 可以 不	3
可以播放陆毅郭采洁演的亲爱的味道吧	FilmTele-Play	可以 播放 陆毅 郭 采洁演 的 亲爱 的 味道 吧	3
第29集特殊争夺麻烦播放一下	FilmTele-Play	第 29 集 特殊 争夺 麻烦 播放 一下	3
陈凯歌导演的妖猫传播放出来	FilmTele-Play	陈凯歌 导演 的 妖 猫 传播 放 出来	3
我要看李易峰演的号手就位。	FilmTele-Play	我要 看 李易峰 演 的 号手 就位 。	3
赵露思演的古装剧现在就播放第21集	FilmTele-Play	赵露 思演 的 古装剧 现在 就 播放 第 21 集	3
美国去年上线的电影随便给我来一个看呢	FilmTele-Play	美国 去年 上线 的 电影 随便 给 我 来 一个 看 呢	3
我想看一会朱茵出演的电视剧呢	FilmTele-Play	我 想 看 一会 朱茵 出演 的 电视剧 呢	3
能看一个前年上线的言情剧看一会吧	FilmTele-Play	能 看 一个 前年 上线 的 言情剧 看 一会 吧	3
放一部90年代的台湾剧	FilmTele-Play	放 一部 90 年代 的 台湾 剧	3
我要看日本电影千与千寻。	FilmTele-Play	我要 看 日本 电影 千与千寻 。	3
续播宫斗剧甄嬛传。	FilmTele-Play	续播 宫斗剧 甄 嬛 传 。	3
我需要你找一个陈坤表演的古装电影给我看	FilmTele-Play	我 需要 你 找 一个 陈坤 表演 的 古装 电影 给 我 看	3
能把今年刚播出的剧陪你一起长大播放吗	FilmTele-Play	能 把 今年 刚 播出 的 剧 陪 你 一起 长大 播放 吗	3
我想看2021年迪丽热巴和吴磊演出的剧	FilmTele-Play	我 想 看 2021 年迪丽 热巴 和 吴磊 演出 的 剧	3
请播放一下妖出长安可以吧	FilmTele-Play	请 播放 一下 妖出 长安 可以 吧	3
能找一个近期的古装偶像剧看一会吗	FilmTele-Play	能 找 一个 近期 的 古装 偶像剧 看 一会 吗	3
帮我找一下九十年代的都市生活类型的电视剧吧	FilmTele-Play	帮 我 找 一下 九十年代 的 都市生活 类型 的 电视剧 吧	3
我想要看爱上你治愈我	FilmTele-Play	我 想要 看 爱上你 治愈 我	3
台湾的爱情喜剧播放给我看一会呗	FilmTele-Play	台湾 的 爱情喜剧 播放 给 我 看 一会 呗	3
帮我播一下最新一集的雁归西窗月	FilmTele-Play	帮 我播 一下 最 新一集 的 雁 归西 窗月	3
给我找一个去年出来的古装剧看看吧，还想看类似有匪那种	FilmTele-Play	给 我 找 一个 去年 出来 的 古装剧 看看 吧 ， 还 想 看 类似 有匪 那种	3
是不是可以现在就播放李易峰的古剑奇谭	FilmTele-Play	是不是 可以 现在 就 播放 李易峰 的 古剑 奇谭	3
麻烦找70年代的古装最好是爱情的片	FilmTele-Play	麻烦 找 70 年代 的 古装 最好 是 爱情 的 片	3
来个罗志祥徐熙媛演的台湾偶像剧转角遇到爱看一下	FilmTele-Play	来个 罗志祥 徐熙媛演 的 台湾 偶像剧 转角 遇到 爱看 一下	3
能不能来一个香港演员周星驰的电影播放啊	FilmTele-Play	能 不能 来 一个 香港 演员 周星驰 的 电影 播放 啊	3
有没有有关宫斗斗争的电视剧大陆的给我看一个	FilmTele-Play	有没有 有关 宫斗 斗争 的 电视剧 大陆 的 给 我 看 一个	3
楼健2021年执导的电视剧可以播放一个吗	FilmTele-Play	楼健 2021 年 执导 的 电视剧 可以 播放 一个 吗	3
麻烦帮我播放时空来电	FilmTele-Play	麻烦 帮 我 播放 时空 来电	3
有没有日本的动作片播放一个呢	FilmTele-Play	有没有 日本 的 动作片 播放 一个 呢	3
美国今年新上的推理电视剧来一个吧	FilmTele-Play	美国 今年 新上 的 推理 电视剧 来 一个 吧	3
罗晋唐嫣演的宫廷剧锦绣未央快放一下	FilmTele-Play	罗 晋唐 嫣演 的 宫廷 剧 锦绣 未央 快放 一下	3
你能给我播放一下韩剧W两个世界吗	FilmTele-Play	你 能 给 我 播放 一下 韩剧 W 两个 世界 吗	3
播放清宫剧甄嬛传的二十集	FilmTele-Play	播放 清宫 剧甄 嬛 传 的 二十 集	3
能找一下美国电影速度与激情5吗	FilmTele-Play	能 找 一下 美国 电影 速度 与 激情 5 吗	3
姚晨演的都挺好1点5倍速放	FilmTele-Play	姚晨演 的 都 挺 好 1 点 5 倍速 放	3
陈思成导演的今年上线的电影播放一个可以吗	FilmTele-Play	陈思成 导演 的 今年 上线 的 电影 播放 一个 可以 吗	3
孙俪的后宫剧来一个吧	FilmTele-Play	孙俪 的 后宫 剧来 一个 吧	3
陈凯歌21世纪初拍摄的霸王别姬放一下	FilmTele-Play	陈凯歌 21 世纪 初 拍摄 的 霸王别姬 放 一下	3
我想看陈坤演的待神令	FilmTele-Play	我 想 看 陈坤演 的 待 神令	3
台湾爱情片我想看一部80年代的	FilmTele-Play	台湾 爱情片 我 想 看 一部 80 年代 的	3
能找到美国的好莱坞科幻片播放吗	FilmTele-Play	能 找到 美国 的 好莱坞 科幻片 播放 吗	3
我想看大陆卧底谍战的剧秋蝉	FilmTele-Play	我 想 看 大陆 卧底 谍战 的 剧 秋蝉	3
能找一个陈思诚去年拍摄的电影给我看吗	FilmTele-Play	能 找 一个 陈思诚 去年 拍摄 的 电影 给 我 看 吗	3
你有英国喜剧吗？给我看一个	FilmTele-Play	你 有 英国 喜剧 吗 ？ 给 我 看 一个	3
播放彭冠英主演的因为爱情有奇迹	FilmTele-Play	播放 彭 冠英 主演 的 因为 爱情 有 奇迹	3
播放新白娘子传奇是爱情神话片	FilmTele-Play	播放 新白娘子 传奇 是 爱情 神话 片	3
播放陈坤主演的历史题材的，建党伟业	FilmTele-Play	播放 陈坤 主演 的 历史 题材 的 ， 建党 伟业	3
我现在要看林和平导的远方的山楂树	FilmTele-Play	我 现在 要 看林 和平 导 的 远方 的 山楂树	3
推理剧继续给我播放一下	FilmTele-Play	推理 剧 继续 给 我 播放 一下	3
动漫版的惹不起的殿下大人继续播放啊	FilmTele-Play	动漫 版 的 惹不起 的 殿下 大人 继续 播放 啊	3
帮我续播正在看的范冰冰的那个电视剧可以吗	FilmTele-Play	帮 我续播 正在 看 的 范冰冰 的 那个 电视剧 可以 吗	3
给我找一个泰国版的公主罗曼史看看	FilmTele-Play	给 我 找 一个 泰国 版 的 公主 罗曼史 看看	3
是不是能找一个偶像剧播放第一集啊	FilmTele-Play	是不是 能 找 一个 偶像剧 播放 第一集 啊	3
帮我找一个70年代的恐怖片	FilmTele-Play	帮 我 找 一个 70 年代 的 恐怖片	3
给我放一下美国最火的速度与激情	FilmTele-Play	给 我 放 一下 美国 最火 的 速度 与 激情	3
想要看泰国的言情剧铁石心肠	FilmTele-Play	想要 看 泰国 的 言情剧 铁石心肠	3
青春作品马思纯出演的左耳给我放一下	FilmTele-Play	青春 作品 马思纯 出演 的 左耳 给 我 放 一下	3
我需要一个美国的玄幻片给我吗	FilmTele-Play	我 需要 一个 美国 的 玄幻片 给 我 吗	3
可不可以播放一下读心探案	FilmTele-Play	可不可以 播放 一下 读心 探案	3
我想看长安诺在腾讯上	FilmTele-Play	我 想 看 长安 诺 在 腾讯 上	3
90年代那个偶像剧可以继续播吗	FilmTele-Play	90 年代 那个 偶像剧 可以 继续 播 吗	3
可以播放一下肖战的那个剧的第一集吗	FilmTele-Play	可以 播放 一下 肖战 的 那个 剧 的 第一集 吗	3
能不能找一个韩国的明星朴信惠演出的剧看看	FilmTele-Play	能 不能 找 一个 韩国 的 明星 朴信惠 演出 的 剧 看看	3
帮我把家庭剧以家人之名播放可以吗	FilmTele-Play	帮 我 把 家庭 剧以 家人 之名 播放 可以 吗	3
给我找张韶涵参加的天赐的声音	FilmTele-Play	给 我 找 张韶涵 参加 的 天赐 的 声音	3
90年代的古装剧来播放一个呢	FilmTele-Play	90 年代 的 古装剧 来 播放 一个 呢	3
朱亚文演的那个正阳门下请播放	FilmTele-Play	朱亚文演 的 那个 正阳门 下 请 播放	3
播放奥黛丽赫本50年代主演的电影罗马假日	FilmTele-Play	播放 奥黛丽 赫本 50 年代 主演 的 电影 罗马 假日	3
台湾出的情景喜剧片可以看一个吗	FilmTele-Play	台湾 出 的 情景 喜剧片 可以 看 一个 吗	3
找一个颖儿出演的电视剧播放最后一集	FilmTele-Play	找 一个 颖儿 出演 的 电视剧 播放 最后 一集	3
能播出一下由范冰冰和佟大为主演的电影苹果吗	FilmTele-Play	能 播出 一下 由 范冰冰 和 佟 大为 主演 的 电影 苹果 吗	3
播放90年代出版的喜剧电影喜剧之王。	FilmTele-Play	播放 90 年代 出版 的 喜剧电影 喜剧之王 。	3
香港那边的吸血鬼题材恐怖片来一个看看吧	FilmTele-Play	香港 那边 的 吸血鬼 题材 恐怖片 来 一个 看看 吧	3
我需要看一个悬疑片神探狄仁杰	FilmTele-Play	我 需要 看 一个 悬疑片 神探 狄仁杰	3
来连着上次的顶楼播放可以吗	FilmTele-Play	来 连 着 上次 的 顶楼 播放 可以 吗	3
看一下周星驰19年导演的新喜剧之王播放一下吧	FilmTele-Play	看 一下 周星驰 19 年 导演 的 新 喜剧之王 播放 一下 吧	3
是不是立刻能帮我续播一下吴磊出演的电视剧	FilmTele-Play	是不是 立刻 能帮 我续播 一下 吴磊 出演 的 电视剧	3
韩剧顶楼可以播放出来吗	FilmTele-Play	韩剧 顶楼 可以 播放 出来 吗	3
之前追的偶像剧继续播放吧	FilmTele-Play	之前 追 的 偶像剧 继续 播放 吧	3
徐璐主演的风声给我1点75倍速播放	FilmTele-Play	徐璐 主演 的 风声 给 我 1 点 75 倍速 播放	3
有没有英国今年上映的剧情片看，或者战争片也行	FilmTele-Play	有没有 英国 今年 上映 的 剧情片 看 ， 或者 战争片 也 行	3
要看猎手帮我放一下	FilmTele-Play	要 看 猎手 帮 我 放 一下	3
我现在想看一个大陆的清宫剧	FilmTele-Play	我 现在 想 看 一个 大陆 的 清宫 剧	3
找一个90年代后期的战争片给我看一会可以吗	FilmTele-Play	找 一个 90 年代 后期 的 战争片 给 我 看 一会 可以 吗	3
古偶萌妻食神麻烦播放	FilmTele-Play	古偶 萌妻 食神 麻烦 播放	3
可以帮我放一下王凯演的清平乐的第二十六集吗	FilmTele-Play	可以 帮 我 放 一下 王凯演 的 清平乐 的 第二十六 集 吗	3
来一个今年新上的推理犯罪片	FilmTele-Play	来 一个 今年 新上 的 推理 犯罪 片	3
续播一下电视凤求凰吧	FilmTele-Play	续播 一下 电视 凤求凰 吧	3
我好想看冯小刚的老炮儿	FilmTele-Play	我 好 想 看 冯小刚 的 老 炮儿	3
今天想一整天看杨幂的仙剑奇侠传	FilmTele-Play	今天 想 一整天 看 杨 幂 的 仙剑 奇侠传	3
最好的时代太切题了赶紧播放给我们看	FilmTele-Play	最好 的 时代 太 切题 了 赶紧 播放 给 我们 看	3
请帮我播放国民老公	FilmTele-Play	请 帮 我 播放 国民 老公	3
帮我找潘长江演的双喜盈门	FilmTele-Play	帮 我 找 潘长江 演 的 双 喜盈门	3
章若楠出演的如果声音不记得，我现在想看	FilmTele-Play	章若楠 出演 的 如果 声音 不 记得 ， 我 现在 想 看	3
给我播一下有翡大结局	FilmTele-Play	给 我播 一下 有翡 大结局	3
帮我找一个美国片破产姐妹	FilmTele-Play	帮 我 找 一个 美国 片 破产 姐妹	3
潘越导演的喜剧有一个能播放吗	FilmTele-Play	潘越 导演 的 喜剧 有 一个 能 播放 吗	3
日本妻夫木聪的剧给我播放吧	FilmTele-Play	日本 妻夫 木聪 的 剧 给 我 播放 吧	3
去年的电视剧清平乐现在播放一下第一集	FilmTele-Play	去年 的 电视剧 清平乐 现在 播放 一下 第一集	3
我需要看一个大陆演员李一桐的电视剧呢	FilmTele-Play	我 需要 看 一个 大陆 演员 李一桐 的 电视剧 呢	3
我想观看陈凯歌导演的霸王别姬。	FilmTele-Play	我 想 观看 陈凯歌 导演 的 霸王别姬 。	3
是否可以播放2018年的电影动物世界给我看	FilmTele-Play	是否 可以 播放 2018 年 的 电影 动物 世界 给 我 看	3
赵薇的古装剧可以来一个看吗	FilmTele-Play	赵薇 的 古装剧 可以 来 一个 看 吗	3
19年的话那请播放反骗天下	FilmTele-Play	19 年 的话 那请 播放 反骗 天下	3
想看沈腾主演的喜剧电影	FilmTele-Play	想 看 沈腾 主演 的 喜剧电影	3
找一部00年之后的谍战片	FilmTele-Play	找 一部 00 年 之后 的 谍战片	3
麻烦找乡村爱情	FilmTele-Play	麻烦 找 乡村 爱情	3
给我来甄嬛传的第三季行不行呢	FilmTele-Play	给 我 来 甄 嬛 传 的 第三季 行不行 呢	3
播放一个大陆的喜剧可以吗	FilmTele-Play	播放 一个 大陆 的 喜剧 可以 吗	3
播给我佟丽娅出演的唐人街探案吧	FilmTele-Play	播给 我 佟丽娅 出演 的 唐人街 探案 吧	3
1点25倍速播放胡军和孙红雷演的背叛	FilmTele-Play	1 点 25 倍速 播放 胡军 和 孙红雷 演 的 背叛	3
帮我找90年代的古龙小说改编武侠剧绝代双骄	FilmTele-Play	帮 我 找 90 年代 的 古龙 小说 改编 武侠剧 绝代 双骄	3
迪丽热巴的长歌行第一集播放一下	FilmTele-Play	迪丽 热巴 的 长 歌行 第一集 播放 一下	3
能不能随机来一个迪丽热巴的偶像剧呢	FilmTele-Play	能 不能 随机 来 一个 迪丽 热巴 的 偶像剧 呢	3
给我看一个偶像剧流星花园吧	FilmTele-Play	给 我 看 一个 偶像剧 流星花园 吧	3
我想看一会生活大爆炸第二集呢	FilmTele-Play	我 想 看 一会 生活 大 爆炸 第二集 呢	3
美国的科幻大片来一个吧	FilmTele-Play	美国 的 科幻 大片 来 一个 吧	3
美国片速度与激情播放一下呢	FilmTele-Play	美国 片 速度 与 激情 播放 一下 呢	3
吴亦凡主演的美人鱼说很不错，现在播放吧	FilmTele-Play	吴亦凡 主演 的 美人鱼 说 很 不错 ， 现在 播放 吧	3
帮我播一下守护解放西最终季最后一集	FilmTele-Play	帮 我播 一下 守护 解放 西 最终 季 最后 一集	3
我想看一会古力娜扎演的古装剧呢	FilmTele-Play	我 想 看 一会 古力 娜 扎演 的 古装剧 呢	3
你能找一个宋丹丹的喜剧播放一会不	FilmTele-Play	你 能 找 一个 宋丹丹 的 喜剧 播放 一会 不	3
我想看70年代的玄幻片呢	FilmTele-Play	我 想 看 70 年代 的 玄幻片 呢	3
麻烦播放李易峰主演的电影动物世界。	FilmTele-Play	麻烦 播放 李易峰 主演 的 电影 动物 世界 。	3
毒液1继续给我看	FilmTele-Play	毒液 1 继续 给 我 看	3
帮我播一下清宫剧甄嬛传第二十集吧	FilmTele-Play	帮 我播 一下 清宫 剧甄 嬛 传 第二十 集 吧	3
我就要看佘诗曼主演的法证先锋	FilmTele-Play	我 就要 看 佘诗曼 主演 的 法证 先锋	3
2018年上的电影动物世界播放给我看呢	FilmTele-Play	2018 年 上 的 电影 动物 世界 播放 给 我 看 呢	3
18年的电影唐人街探案2来播放吧	FilmTele-Play	18 年 的 电影 唐人街 探案 2 来 播放 吧	3
张艺谋近十年导演的电影播放一个吧	FilmTele-Play	张艺谋 近十年 导演 的 电影 播放 一个 吧	3
续播致我们单纯的小美好	FilmTele-Play	续播致 我们 单纯 的 小 美好	3
还是沈严导演的那我想看马伊琍袁泉演的我的前半生	FilmTele-Play	还是 沈严 导演 的 那 我 想 看 马伊 琍 袁泉演 的 我 的 前半生	3
飞驰人生的电影继续给我播放一下吧	FilmTele-Play	飞驰 人生 的 电影 继续 给 我 播放 一下 吧	3
帮我播放永远恋爱真美	FilmTele-Play	帮 我 播放 永远 恋爱 真 美	3
能把喜剧飞驰人生播放一下不	FilmTele-Play	能 把 喜剧 飞驰 人生 播放 一下 不	3
请帮我设置续播真人版的名侦探柯南	FilmTele-Play	请 帮 我 设置 续播 真人版 的 名 侦探 柯南	3
我想要看青春无季第5集	FilmTele-Play	我 想要 看 青春 无季 第 5 集	3
王宝强演的那个士兵突击给我放一下	FilmTele-Play	王宝 强演 的 那个 士兵 突击 给 我 放 一下	3
播放爱情剧我可能不会爱你	FilmTele-Play	播放 爱情 剧 我 可能 不会 爱 你	3
请给我找军人题材的剧吧有个韩国爱情片太阳的后裔	FilmTele-Play	请 给 我 找 军人 题材 的 剧 吧 有 个 韩国 爱情片 太阳 的 后裔	3
想要看春暖花又开	FilmTele-Play	想要 看春暖花 又 开	3
小鱼儿与花无缺就范冰冰那个播出一下	FilmTele-Play	小鱼儿 与 花无缺 就 范冰冰 那个 播出 一下	3
马上放香港喜剧侠女闯天关	FilmTele-Play	马上 放 香港 喜剧 侠女 闯天关	3
21世纪黄晓明拍的剧随便来一个播放	FilmTele-Play	21 世纪 黄晓明 拍 的 剧 随便 来 一个 播放	3
看个喜剧电影吧，夏洛特烦恼。	FilmTele-Play	看个 喜剧电影 吧 ， 夏洛特 烦恼 。	3
关晓彤出演的电视剧我就是这般女子播放一下吧	FilmTele-Play	关晓彤 出演 的 电视剧 我 就是 这般 女子 播放 一下 吧	3
今年马丽演的那个电视剧播放一下吧	FilmTele-Play	今年 马丽演 的 那个 电视剧 播放 一下 吧	3
来个电影吧，汤唯主演的电影黄金时代。	FilmTele-Play	来个 电影吧 ， 汤 唯 主演 的 电影 黄金时代 。	3
一千零一夜这个剧给我连着上次看到的地方播放吧	FilmTele-Play	一千零一夜 这个 剧给 我 连 着 上次 看到 的 地方 播放 吧	3
你是不是能把斗破苍穹这个玄幻剧全集给我播放呢	FilmTele-Play	你 是不是 能 把 斗破 苍穹 这个 玄幻剧 全集 给 我 播放 呢	3
秦俊杰的天衣无缝麻烦放一下	FilmTele-Play	秦 俊杰 的 天衣无缝 麻烦 放 一下	3
陈坤和赵薇周迅主演的电影可以播放吗	FilmTele-Play	陈坤 和 赵薇 周迅 主演 的 电影 可以 播放 吗	3
90年代中国大陆的电视剧找一个看吧	FilmTele-Play	90 年代 中国 大陆 的 电视剧 找 一个 看吧	3
我想继续看那个林心如演的电视剧	FilmTele-Play	我 想 继续 看 那个 林心如 演 的 电视剧	3
现在放一下2019年以后美国的动作片	FilmTele-Play	现在 放 一下 2019 年 以后 美国 的 动作片	3
我要看血族帮我播一下	FilmTele-Play	我要 看 血族 帮 我播 一下	3
有没有泰国的喜剧播放呢	FilmTele-Play	有没有 泰国 的 喜剧 播放 呢	3
香港90年代的恐怖片来一个可以吗	FilmTele-Play	香港 90 年代 的 恐怖片 来 一个 可以 吗	3
给我找抗战片黑狐看看	FilmTele-Play	给 我 找 抗战 片 黑狐 看看	3
郭京飞演的我是余欢水给我放 	FilmTele-Play	郭京 飞演 的 我 是 余欢 水 给 我 放  	3
只为那一刻与你相见从第3集开始按顺序播放	FilmTele-Play	只 为 那一刻 与 你 相见 从 第 3 集 开始 按 顺序 播放	3
言情剧乌鸦小姐与蜥蜴先生播放给我吧	FilmTele-Play	言情剧 乌鸦 小姐 与 蜥蜴 先生 播放 给 我 吧	3
要看马丽作为女主角的喜剧电影呢	FilmTele-Play	要 看 马丽 作为 女主角 的 喜剧电影 呢	3
能不能来一个喜剧甲方乙方	FilmTele-Play	能 不能 来 一个 喜剧 甲方乙方	3
能不能来一个美国的科幻战争片	FilmTele-Play	能 不能 来 一个 美国 的 科幻 战争片	3
我想看一个林心如演的电视剧的第一集	FilmTele-Play	我 想 看 一个 林心如 演 的 电视剧 的 第一集	3
我能不能继续看甄嬛传啊	FilmTele-Play	我能 不能 继续 看 甄 嬛 传 啊	3
大陆近几年的偶像剧来一个看看呢，太狗血那种就算了	FilmTele-Play	大陆 近几年 的 偶像剧 来 一个 看看 呢 ， 太 狗血 那种 就算 了	3
继续播放西游记这个玄幻剧吧	FilmTele-Play	继续 播放 西游记 这个 玄幻剧 吧	3
是不是能把武林外传这个喜剧播放一下呢	FilmTele-Play	是不是 能 把 武林 外传 这个 喜剧 播放 一下 呢	3
播放一下白狐的人生	FilmTele-Play	播放 一下 白狐 的 人生	3
播放张译演的鸡毛飞上天	FilmTele-Play	播放 张译演 的 鸡毛 飞 上天	3
帮我播放一个都不能少的大结局	FilmTele-Play	帮 我 播放 一个 都 不能 少 的 大结局	3
播放一下陪你一起长大的第29集行不	FilmTele-Play	播放 一下 陪 你 一起 长大 的 第 29 集行 不	3
是不是能来一个大陆的历史剧不要偶像剧	FilmTele-Play	是不是 能 来 一个 大陆 的 历史剧 不要 偶像剧	3
给我打开台湾的爱情剧我可能不会爱你	FilmTele-Play	给 我 打开 台湾 的 爱情 剧 我 可能 不会 爱 你	3
能来一个香港电影甜蜜蜜吗	FilmTele-Play	能 来 一个 香港电影 甜蜜蜜 吗	3
找一个吓人的日本恐怖电影看吧	FilmTele-Play	找 一个 吓人 的 日本 恐怖电影 看吧	3
想看美国爱情片怦然心动	FilmTele-Play	想 看 美国 爱情片 怦然心动	3
是否能够给我播放一个娄艺潇主演的爱情公寓呢	FilmTele-Play	是否 能够 给 我 播放 一个 娄艺潇 主演 的 爱情 公寓 呢	3
2021年评分最高的推理电影选几个	FilmTele-Play	2021 年 评分 最高 的 推理 电影 选 几个	3
找到并且播放王茜演的月是故乡明	FilmTele-Play	找到 并且 播放 王茜演 的 月 是 故乡 明	3
李若彤出演的仙侠剧随即来一部播放一下可以不	FilmTele-Play	李若彤 出演 的 仙侠 剧 随即 来 一部 播放 一下 可以 不	3
古天乐主演的香港电影反贪风暴播放一下吧	FilmTele-Play	古天乐 主演 的 香港电影 反贪 风暴 播放 一下 吧	3
1点25倍速放给我风筝是悬疑片那个	FilmTele-Play	1 点 25 倍速 放给 我 风筝 是 悬疑片 那个	3
历史题材，周润发主演的电影孔子	FilmTele-Play	历史 题材 ， 周润发 主演 的 电影 孔子	3
是不是能给我来一个推理电视剧无证之罪	FilmTele-Play	是不是 能 给 我 来 一个 推理 电视剧 无证 之罪	3
能找一个2008年的古装偶像看看不	FilmTele-Play	能 找 一个 2008 年 的 古装 偶像 看看 不	3
90年代之后战争片随机播放一个吧	FilmTele-Play	90 年代 之后 战争片 随机 播放 一个 吧	3
我需要一个偶像剧去年的看一看	FilmTele-Play	我 需要 一个 偶像剧 去年 的 看一看	3
找出拾光里的我们让我回忆一下	FilmTele-Play	找出 拾光里 的 我们 让 我 回忆 一下	3
找我找一下吴磊演的旋风少女播放一下呢	FilmTele-Play	找 我 找 一下 吴磊演 的 旋风 少女 播放 一下 呢	3
内地剧一起同过窗带有人生哲理，让我感受一下吧	FilmTele-Play	内地 剧 一起 同过 窗 带有 人生哲理 ， 让 我 感受一下 吧	3
把李易峰版的盗墓笔记调出来看一会儿	FilmTele-Play	把 李易峰 版 的 盗墓 笔记 调出 来看 一会儿	3
美国片啊那我要看废柴联盟	FilmTele-Play	美国 片 啊 那 我 要 看 废柴 联盟	3
我马上就得看赵薇主演的湖南卫视的还珠格格	FilmTele-Play	我 马上 就 得 看 赵薇 主演 的 湖南卫视 的 还珠格格	3
播放一个清宫剧孙俪的可以吗	FilmTele-Play	播放 一个 清宫 剧孙俪 的 可以 吗	3
帮我找的最新上映的喜剧片吧	FilmTele-Play	帮 我 找 的 最新 上映 的 喜剧片 吧	3
我现在可以马上播放任素汐的驴得水	FilmTele-Play	我 现在 可以 马上 播放 任素 汐 的 驴 得 水	3
曹盾导演的历史剧来一个吧	FilmTele-Play	曹盾 导演 的 历史剧 来 一个 吧	3
给我看一个关晓彤的二十不惑嗯可以吗	FilmTele-Play	给 我 看 一个 关晓彤 的 二十 不惑 嗯 可以 吗	3
播放郑爽演的青春斗	FilmTele-Play	播放 郑爽演 的 青春 斗	3
我想你找一个2020年的新加坡剧播放一下	FilmTele-Play	我 想 你 找 一个 2020 年 的 新加坡 剧 播放 一下	3
播一下激情的岁月	FilmTele-Play	播 一下 激情 的 岁月	3
放战天狼不是战狼赶紧放战天狼	FilmTele-Play	放战天 狼 不是 战狼 赶紧 放战天 狼	3
帮我放一个泰国的家庭伦理剧吧	FilmTele-Play	帮 我 放 一个 泰国 的 家庭 伦理 剧 吧	3
我要看一个俄罗斯今年上线的电影	FilmTele-Play	我要 看 一个 俄罗斯 今年 上线 的 电影	3
播放一个泰国版的宫	FilmTele-Play	播放 一个 泰国 版 的 宫	3
想看拜托了班长的大结局帮我播放一下	FilmTele-Play	想 看 拜托 了 班长 的 大结局 帮 我 播放 一下	3
给我播放美国出版的电影黑客帝国。	FilmTele-Play	给 我 播放 美国 出版 的 电影 黑客帝国 。	3
悬疑的电影去年上线的播放一个可以不	FilmTele-Play	悬疑 的 电影 去年 上线 的 播放 一个 可以 不	3
续播一下范冰冰演的那个电视剧	FilmTele-Play	续播 一下 范冰冰 演 的 那个 电视剧	3
